ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365594.000000000,645867109.000000000,0.557014871,0.306915286,0.158814372,0.993003267,-0.083331759,0.083433510,0.005859423,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,647020816.000000000,0.557037280,0.306831147,0.158798092,0.992999139,-0.083393895,0.083419107,0.005880000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,648728609.000000000,0.557078128,0.306660561,0.158760957,0.992991520,-0.083516247,0.083384234,0.005924564,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,650000333.000000000,0.557096679,0.306577693,0.158742357,0.992987968,-0.083574855,0.083366196,0.005947194,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,651167392.000000000,0.557115796,0.306491090,0.158720400,0.992984633,-0.083633185,0.083345702,0.005971259,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,652760982.000000000,0.557159322,0.306323956,0.158689680,0.992976579,-0.083755770,0.083315645,0.006011614,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,654539346.000000000,0.557197299,0.306151829,0.158651135,0.992968966,-0.083880569,0.083277481,0.006057660,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,655683517.000000000,0.557219049,0.306067032,0.158637716,0.992964699,-0.083943034,0.083263917,0.006078263,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,656898260.000000000,0.557237058,0.305983364,0.158619652,0.992961091,-0.084001963,0.083245859,0.006100845,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,658709526.000000000,0.557272084,0.305810496,0.158578145,0.992953854,-0.084124623,0.083204868,0.006147609,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
